"Curso","Asignatura","Codigo","Fisico","Online","Creditos","Tipo","Departamento","Vigencia","Cod Plan","Titulacion","Cod Centro","Centro","Annyo","Fecha"
"1","Música y Teatro","50370019","SI","NO","","OPTATIVA","","","M037","Máster Universitario en Artes del Espectáculo Vivo","302","Escuela Internacional de Posgrado","N","N"
"3","Teoría de Máquinas y Mecanismos","2090025","SI","SI","","OBLIGATORIA","","","209","Grado en Ingeniería Química Industrial","23","Escuela Politécnica Superior","Curso 2023-24","20231005"
"1","Tecnología Energética","52210049","","","","OPTATIVA","","","M221","Máster Universitario en Ingeniería Industrial (2024)","45","E.T.S. de Ingeniería","",""
"1","Sistema de Administraciones Públicas","50620034","SI","SI","","OPTATIVA","","","M062","Máster Universitario en Derecho Público","20","Facultad de Derecho","Curso 2023-24","20240213"
"1","Procedimientos Registrales","51300028","SI","SI","","OPTATIVA","","","M130","Doble Máster Universitario en Abogacía y Derecho Público","20","Facultad de Derecho","Curso 2023-24","20240312"
"1","Fundamentos de la Escultura II","1900007","SI","SI","","TRONCAL / FORMACIÓN BÁSICA","","","190","Grado en Bellas Artes","21","Facultad de Bellas Artes","Curso 2023-24","20231027"
"1","Empresa","2210006","SI","SI","","TRONCAL / FORMACIÓN BÁSICA","","","221","Grado en Ingeniería de la Energía por la Un. de Sevilla y la Un. de Málaga","45","E.T.S. de Ingeniería","Curso 2023-24","20231113"
"4","Ampliación de Francés","1790034","SI","SI","","OPTATIVA","","","179","Grado en Turismo","7","Facultad de Turismo y Finanzas","Curso 2023-24","20231219"
"2","Estructura de Mercados","1790017","SI","SI","","OBLIGATORIA","","","179","Grado en Turismo","7","Facultad de Turismo y Finanzas","Curso 2023-24","20240130"
"3","Derecho Colectivo del Trabajo","2200024","SI","SI","","OBLIGATORIA","","","220","Doble Grado en Finanzas y Contabilidad y Relac. Laborales y Recurs. Humanos","8","Facultad de Ciencias del Trabajo","Curso 2023-24","20240118"
"1","Tácticas de Diseño Innovadoras en Procesos Socioespaciales Sostenibles","52080009","","","","OPTATIVA","","","M208","M.U. en Innovación en Arquitectura: Tecnología y Diseño (2022)","15","E.T.S. de Arquitectura","",""
"1","Trabajo y Sociedad desde una Perspectiva Internacional","51870020","SI","SI","","OBLIGATORIA","","","M187","Máster Universitario en Ciencias del Trabajo","8","Facultad de Ciencias del Trabajo","Curso 2023-24","20240123"
"1","Nuevas Tecnologías de la Información y la Comunicación e Innovación en la Actividad Física y Deporte","2550014","","","","TRONCAL / FORMACIÓN BÁSICA","","","255","Doble Grado en Fisioterapia y Ciencias de la Actividad Física y del Deporte","18","Facultad de Ciencias de la Educación","",""
"2","Crítica Literaria","1590017","SI","SI","","OBLIGATORIA","","","159","Grado en Filología Hispánica","16","Facultad de Filología","Curso 2019-20","20200518"
"1","Procesos Estocásticos. Aplicaciones","51760022","SI","SI","","OPTATIVA","","","M176","Doble M.U. Profesorado Educ.Secund.Oblig.y Bach, FP y EI y en Matemáticas","17","Facultad de Matemáticas","Curso 2022-23","20200212"
"1","Fuentes e Historiografía Relativas a la Historia Medieval","51350007","SI","NO","","OPTATIVA","","","M135","Máster Universitario en Estudios Históricos Avanzados","4","Facultad de Geografía e Historia","Curso 2016-17","20161102"
"1","Técnicas de Reconocimiento Territorial (Salida de Campo)","51580028","NO","NO","","OBLIGATORIA","","","M158","Máster Unv. en Gestión del Territorio. Instrumentos y Técnicas de Intervenc","4","Facultad de Geografía e Historia","N","N"
"3","Lengua Italiana B2.1","1810058","NO","NO","","OPTATIVA","","","181","Grado en Estudios Árabes e Islámicos","16","Facultad de Filología","N","N"
"3","Desarrollo Educativo y Profesional de las Mujeres","1740038","SI","SI","","OPTATIVA","","","174","Grado en Pedagogía","18","Facultad de Ciencias de la Educación","Curso 2021-22","20200420"
"4","Proyectos en Ingeniería Biomédica","2260074","SI","SI","","OPTATIVA","","","226","Grado en Ingeniería de la Salud por la Univ. de Málaga y la Univ.de Sevilla","3","E.T.S. Ingeniería Informática","Curso 2021-22","20211215"
"1","Análisis Exploratorio de Datos","50730001","SI","SI","","OPTATIVA","","","M073","Máster Universitario en Estudios Avanzados en Cerebro y Conducta","13","Facultad de Psicología","Curso 2021-22","20180112"
"1","Genómica y Metagenómica","52030013","NO","NO","","OBLIGATORIA","","","M203","Máster Universitario en Análisis de Datos Ómicos y Biología de Sistemas","5","Facultad de Biología","Curso 2023-24","20240528"
"1","Migraciones Forzadas y Cuidados de Salud y Bienestar","51330014","NO","NO","","OPTATIVA","","","M133","M.U.en Migraciones Internacionales, Salud y Bienestar: Mod. y Est. de Inter","13","Facultad de Psicología","",""
"1","Prehistoria II: Sociedades Tribales y Primeros Estados","1660010","SI","NO","","OBLIGATORIA","","","166","Grado en Historia","4","Facultad de Geografía e Historia","Curso 2015-16","20160329"
"1","Desvelar el Sexismo en los Espacios Educativos","50390002","NO","NO","","OPTATIVA","","","M039","Máster Universitario en Estudios de Género y Desarrollo Profesional","302","Escuela Internacional de Posgrado","Curso 2012-13","N"
"1","Dinámica de Sólidos","51550004","SI","NO","","OBLIGATORIA","","","M155","Máster Universitario en Diseño Avanzado en Ingeniería Mecánica","45","E.T.S. de Ingeniería","Curso 2023-24","20231205"
"1","Biomecánica","51550002","SI","SI","","OPTATIVA","","","M155","Máster Universitario en Diseño Avanzado en Ingeniería Mecánica","45","E.T.S. de Ingeniería","Curso 2023-24","20231205"
"1","Cáncer y Radiobiología","51610032","","","","OPTATIVA","","","M161","Máster Universitario en Investigación Biomédica","302","Escuela Internacional de Posgrado","",""
"3","Automatización Industrial","2150026","SI","SI","","OBLIGATORIA","","","215","Doble Grado en Ingeniería Eléctrica e Ingeniería Electrónica Industrial","23","Escuela Politécnica Superior","Curso 2023-24","20231005"
"3","Técnicas de Control de Gestión","51960050","SI","SI","","OBLIGATORIA","","","M196","Doble M.U. en Ingeniería Industrial y Organización Industrial y Gestión Emp","45","E.T.S. de Ingeniería","Curso 2023-24","20231010"
"1","Derecho Local","51300004","SI","NO","","OBLIGATORIA","","","M130","Doble Máster Universitario en Abogacía y Derecho Público","20","Facultad de Derecho","Curso 2023-24","20240227"
"1","Literatura y Narración Audiovisual. Adaptaciones e Interacciones","52130033","","","","OPTATIVA","","","M213","Doble M.U.en Profesorado de E.S.O. y Bachillerato, FP y EI y en Est.Lingüís","16","Facultad de Filología","",""
"4","Marketing de Servicios","1510044","SI","SI","","OPTATIVA","","","151","Grado en Administración y Dirección de Empresas","1","Facultad de CC. Económ. y Empresariales","Curso 2023-24","20240424"
"3","Antropología de la Salud","2520024","","","","OPTATIVA","","","252","Grado en Antropología Social y Cultural (2021)","4","Facultad de Geografía e Historia","",""
"2","Métodos de Análisis Territorial","2570025","","","","OBLIGATORIA","","","257","Doble Grado en Geografía y Gestión del Territorio e Historia (2024)","4","Facultad de Geografía e Historia","",""
"1","Estructuras 1","2330007","SI","SI","","OBLIGATORIA","","","233","Grado en Fundamentos de Arquitectura","15","E.T.S. de Arquitectura","Curso 2022-23","20230525"
"1","Estadística Descriptiva","2410005","SI","SI","","TRONCAL / FORMACIÓN BÁSICA","","","241","Doble Grado en Matemáticas y Estadística","17","Facultad de Matemáticas","Curso 2022-23","20200212"
"1","La Dirección de los Procesos Institucionales","50640014","SI","SI","","OPTATIVA","","","M064","Máster Unv. en Dirección, Evaluación y Calidad de las Instituc. de For","18","Facultad de Ciencias de la Educación","Curso 2021-22","20200420"
"4","Contabilidad para las Relaciones Laborales","1780031","SI","SI","","OPTATIVA","","","178","Grado en Relaciones Laborales y Recursos Humanos","8","Facultad de Ciencias del Trabajo","Curso 2023-24","20231103"
"4","Variable Compleja","2410069","SI","SI","","OPTATIVA","","","241","Doble Grado en Matemáticas y Estadística","17","Facultad de Matemáticas","Curso 2022-23","20200212"
"1","Innovación en Enseñanza de la Lengua Castellana y Literatura","52060003","","","","OPTATIVA","","","M206","M.U. en Investigación e Innovación Educativa en las Áreas del Currículo","18","Facultad de Ciencias de la Educación","",""
"3","Software de Sistemas","2040026","SI","NO","","OBLIGATORIA","","","204","Grado en Ingeniería Informática-Ingeniería de Computadores","3","E.T.S. Ingeniería Informática","Curso 2021-22","20151013"
"1","Iglesia, Cultura y Sociedad en la España Medieval","51350015","SI","NO","","OPTATIVA","","","M135","Máster Universitario en Estudios Históricos Avanzados","4","Facultad de Geografía e Historia","Curso 2016-17","20161004"
"1","Mujer y Mercado de Trabajo","51870012","SI","NO","","OPTATIVA","","","M187","Máster Universitario en Ciencias del Trabajo","8","Facultad de Ciencias del Trabajo","Curso 2023-24","20240123"
"5","Derecho Internacional Privado","2500057","","","","OBLIGATORIA","","","250","Doble Grado en Derecho y en Filosofía","20","Facultad de Derecho","",""
"4","Lógica","2500050","","","","OBLIGATORIA","","","250","Doble Grado en Derecho y en Filosofía","12","Facultad de Filosofía","",""
"2","Historia de la Educación Contemporánea","1740014","SI","SI","","OBLIGATORIA","","","174","Grado en Pedagogía","18","Facultad de Ciencias de la Educación","Curso 2021-22","20200420"
"3","Gestión, Conservación y Explotación de Aguas y Suelos (GCAM)","2460028","NO","NO","","OBLIGATORIA","","","246","Doble Grado en Ingeniería Agrícola (US) y Grado Ciencias Ambientales (UPO)","9","E.T.S. de Ingeniería Agronómica","Curso 2023-24","20231218"
"4","Mecánica Cuántica Relativista","1620035","SI","SI","","OPTATIVA","","","162","Grado en Física","6","Facultad de Física","Curso 2023-24","20240425"
"3","Lengua Alemana C1 (Iniciación)","1850060","SI","NO","","OBLIGATORIA","","","185","Grado en Lengua y Literatura Alemanas","16","Facultad de Filología","Curso 2019-20","20200518"
"1","Sistemas de Apoyo a la Toma de Decisiones","51880014","SI","SI","","OPTATIVA","","","M188","Máster Universitario en Ingeniería Biomédica y Salud Digital","3","E.T.S. Ingeniería Informática","Curso 2021-22",""
"4","Obstetricia y Ginecología","1720033","SI","SI","","OBLIGATORIA","","","172","Grado en Medicina","14","Facultad de Medicina","Curso 2021-22","20211215"
"5","Lexicología Alemana","2350058","NO","NO","","OPTATIVA","","","235","Doble Grado en Lengua y Literatura Alemanas y en Educación Primaria","16","Facultad de Filología","Curso 2019-20","20200421"
"3","Patrimonio y Paisaje","1640030","NO","NO","","OPTATIVA","","","164","Grado en Geografía y Gestión del Territorio","4","Facultad de Geografía e Historia","Curso 2012-13","N"
"2","Historia de la Fotografía","1670017","SI","SI","","TRONCAL / FORMACIÓN BÁSICA","","","167","Grado en Historia del Arte","4","Facultad de Geografía e Historia","Curso 2019-20","20200420"
"2","Ecuaciones Diferenciales Ordinarias","2400016","NO","NO","","OBLIGATORIA","","","240","Doble Grado en Física y Matemáticas","17","Facultad de Matemáticas","Curso 2023-24","20240425"
"1","Introducción a la Minería de Datos","52150009","SI","SI","","OBLIGATORIA","","","M215","Máster Universitario en Marketing e Investigación Aplicada","1","Facultad de CC. Económ. y Empresariales","Curso 2023-24","20240301"
"1","Complementos de Mecánica Racional","51460003","SI","SI","","OPTATIVA","","","M146","Máster Universitario en Ingeniería Industrial","45","E.T.S. de Ingeniería","Curso 2023-24","20231006"
"3","Expresión Corporal y Danza","2450048","NO","NO","","OBLIGATORIA","","","245","Doble Grado en Fisioterapia y Ciencias de la Actividad Física y del Deporte","18","Facultad de Ciencias de la Educación","Curso 2021-22","20211215"
"3","Sistemas de Producción de Potencia","2210035","SI","SI","","OPTATIVA","","","221","Grado en Ingeniería de la Energía por la Un. de Sevilla y la Un. de Málaga","45","E.T.S. de Ingeniería","Curso 2023-24","20240305"
"","Educación para la Sostenibilidad","50440068","NO","NO","","OPTATIVA","","","M044","Máster Univers. en Profesorado de E.S.O y Bachillerato, FP y E.Idiomas","302","Escuela Internacional de Posgrado","Curso 2012-13","N"
"2","Tecnología Eléctrica","2090015","SI","SI","","OBLIGATORIA","","","209","Grado en Ingeniería Química Industrial","23","Escuela Politécnica Superior","Curso 2023-24","20231005"
"3","Tecnología Electrónica","1970045","SI","SI","","OPTATIVA","","","197","Grado en Ingeniería Aeroespacial","45","E.T.S. de Ingeniería","Curso 2023-24","20240129"
"1","Tecnologías Avanzadas de Depuración","51830018","SI","SI","","OPTATIVA","","","M183","Máster Universitario en Ingeniería Ambiental (2018)","45","E.T.S. de Ingeniería","Curso 2023-24","20231110"
"1","Transducción de Señales","51570010","SI","SI","","OPTATIVA","","","M157","Máster Universitario en Genética Molecular y Biotecnología","302","Escuela Internacional de Posgrado","Curso 2023-24","20231222"
"4","Análisis y Prevención de Riesgos Laborales","2030115","SI","SI","","OPTATIVA","","","203","Grado en Ingeniería de Tecnologías Industriales","45","E.T.S. de Ingeniería","Curso 2023-24","20240124"
"2","Ampliación de Física","2030012","SI","SI","","OBLIGATORIA","","","203","Grado en Ingeniería de Tecnologías Industriales","45","E.T.S. de Ingeniería","Curso 2023-24","20230928"
"1","Persona Jurídica: Criminalidad Económica y de la Empresa","51860015","SI","SI","","OPTATIVA","","","M186","Máster Universitario en Derecho Penal y Ciencias Criminales","20","Facultad de Derecho","Curso 2023-24","20240215"
"4","Teoría e Historia de la Propaganda","2100049","SI","SI","","OPTATIVA","","","210","Grado en Periodismo","2","Facultad de Comunicación","Curso 2022-23","20220926"
"3","Contexto Artístico de la Publicidad","2110022","SI","SI","","OPTATIVA","","","211","Grado en Publicidad y Relaciones Públicas","2","Facultad de Comunicación","Curso 2022-23","20220926"
"1","Historia de la Escritura en la Edad Moderna","50670006","SI","SI","","OPTATIVA","","","M067","Máster Universitario en Documentos y Libros. Archivos y Bibliotecas","4","Facultad de Geografía e Historia","Curso 2015-16","20160331"
"1","Arte Iberoamericano en el Siglo XX","51210001","SI","NO","","OPTATIVA","","","M121","Máster Universitario en Estudios Americanos","4","Facultad de Geografía e Historia","Curso 2015-16","20160511"
"3","Análisis del Discurso y Pragmática del Español","1590030","SI","SI","","OBLIGATORIA","","","159","Grado en Filología Hispánica","16","Facultad de Filología","Curso 2019-20","20200517"
"4","Prácticas de Gestión en Instituciones Deportivas","1540047","SI","SI","","OPTATIVA","","","154","Grado en Ciencias de la Actividad Física y del Deporte","18","Facultad de Ciencias de la Educación","Curso 2021-22","20200420"
"1","Orientación y Acción Psicopedagógica en el Contexto Socio-comunitario","51380027","SI","NO","","OPTATIVA","","","M138","Máster Universitario en Psicopedagogía","18","Facultad de Ciencias de la Educación","Curso 2021-22","20200420"
"1","Humanismo Filosófico","51150012","SI","SI","","OPTATIVA","","","M115","Máster Universitario en Filosofía y Cultura Moderna","12","Facultad de Filosofía","Curso 2021-22","20170111"
"4","Ética y Deontología Profesional","1760033","SI","SI","","OBLIGATORIA","","","176","Grado en Psicología","13","Facultad de Psicología","Curso 2021-22","20211005"
"2","Idioma Moderno II (Alemán)","1830016","SI","NO","","OBLIGATORIA","","","183","Grado en Estudios Ingleses","16","Facultad de Filología","Curso 2016-17","20161212"
"3","Estructuras Algebraicas","2470024","SI","","","OBLIGATORIA","","","247","Doble Grado Ingeniería Informática-Tecnologías Informáticas y Matemáticas","17","Facultad de Matemáticas","Curso 2022-23",""
"3","Literatura Inglesa III","1830033","SI","SI","","OBLIGATORIA","","","183","Grado en Estudios Ingleses","16","Facultad de Filología","Curso 2016-17","20170114"
"4","Ampliación de Mecánica Estadística","1620023","SI","SI","","OPTATIVA","","","162","Grado en Física","6","Facultad de Física","Curso 2023-24","20240425"
"1","Desarrollo y Gestión de Sistemas de Información en la Nube","51800004","SI","NO","","OBLIGATORIA","","","M180","Máster Universitario en Ingeniería Informática","3","E.T.S. Ingeniería Informática","Curso 2021-22",""
"5","Prácticas de Traducción Francés-Español. Textos Literarios","2380063","SI","NO","","OPTATIVA","","","238","Doble Grado en Educación Primaria y Estudios Franceses","16","Facultad de Filología","Curso 2019-20","20200517"
"5","Instituciones Históricas del Derecho","1860073","SI","SI","","OPTATIVA","","","186","Doble Grado en Administración y Dirección de Empresas y en Derecho","20","Facultad de Derecho","Curso 2023-24","20231130"
"5","Ciencias de la Computación","2400052","SI","SI","","OPTATIVA","","","240","Doble Grado en Física y Matemáticas","17","Facultad de Matemáticas","Curso 2022-23","20200211"
"2","Matemáticas Financieras","1610018","SI","SI","","OBLIGATORIA","","","161","Grado en Finanzas y Contabilidad","7","Facultad de Turismo y Finanzas","Curso 2023-24","20240301"
"2","Tecnología Electrónica","2010015","SI","SI","","OBLIGATORIA","","","201","Grado en Ingeniería Electrónica Industrial","23","Escuela Politécnica Superior","Curso 2023-24","20231005"
"1","Biorrefinerías","51830002","SI","SI","","OPTATIVA","","","M183","Máster Universitario en Ingeniería Ambiental (2018)","45","E.T.S. de Ingeniería","Curso 2022-23","20221114"
"1","Fundamentos de Ingeniería de Datos","51790005","SI","NO","","OBLIGATORIA","","","M179","M.U.en Ingeniería del Software: Cloud, Datos y Gestión de las Tecnologías","302","Escuela Internacional de Posgrado","Curso 2022-23",""
"1","Operación y Control de Plantas Químicas","51990012","SI","SI","","OBLIGATORIA","","","M199","Doble Máster Universitario en Ingeniería Química y en Ingeniería Ambiental","45","E.T.S. de Ingeniería","Curso 2023-24","20231107"
"4","Teoría de Estructuras","2080054","SI","SI","","OPTATIVA","","","208","Grado en Ingeniería Química","45","E.T.S. de Ingeniería","Curso 2023-24","20240115"
"4","Eficiencia Energética en Instalaciones Térmicas en la Edificación","2210043","NO","NO","","OPTATIVA","","","221","Grado en Ingeniería de la Energía por la Un. de Sevilla y la Un. de Málaga","45","E.T.S. de Ingeniería","Curso 2017-18","20171205"
"4","Energía Eólica","2210046","SI","SI","","OPTATIVA","","","221","Grado en Ingeniería de la Energía por la Un. de Sevilla y la Un. de Málaga","45","E.T.S. de Ingeniería","Curso 2023-24","20231120"
"3","Producción y Empresa Audiovisual II","1920025","SI","SI","","OBLIGATORIA","","","192","Grado en Comunicación Audiovisual","2","Facultad de Comunicación","Curso 2022-23","20220920"
"3","Arqueología de la Arquitectura (JAÉN)","2420043","","","","OPTATIVA","","","242","Grado en Arqueología por la Unv. de Granada, Unv. de Jaén y Unv.de Sevilla","4","Facultad de Geografía e Historia","",""
"4","Antropología del Turismo y Gestión del Patrimonio Cultural Etnológico","1790036","SI","SI","","OPTATIVA","","","179","Grado en Turismo","7","Facultad de Turismo y Finanzas","Curso 2023-24","20240130"
"1","Arquitectura e Innovación: Antecedentes","52080002","","","","OBLIGATORIA","","","M208","M.U. en Innovación en Arquitectura: Tecnología y Diseño (2022)","15","E.T.S. de Arquitectura","",""
"1","Emprendimiento Social","51170019","NO","SI","","OPTATIVA","","","M117","M.U. en Antropología: Gestión de la Diversidad Cultural, el Pat.y el Des.","4","Facultad de Geografía e Historia","",""
"4","Criptografía","2050030","SI","SI","","OPTATIVA","","","205","Grado en Ingeniería Informática-Ingeniería del Software","3","E.T.S. Ingeniería Informática","Curso 2021-22","N"
"2","Análisis y Diseño de Datos y Algoritmos","2060010","SI","SI","","OBLIGATORIA","","","206","Grado en Ingeniería Informática-Tecnologías Informáticas","3","E.T.S. Ingeniería Informática","Curso 2021-22","N"
"4","Ontología","2500071","","","","OPTATIVA","","","250","Doble Grado en Derecho y en Filosofía","12","Facultad de Filosofía","",""
"4","Tecnología, Informática y Sociedad","2470066","SI","","","OPTATIVA","","","247","Doble Grado Ingeniería Informática-Tecnologías Informáticas y Matemáticas","3","E.T.S. Ingeniería Informática","Curso 2022-23",""
"1","Psicología de la Motivación y la Emoción","1760008","SI","SI","","OBLIGATORIA","","","176","Grado en Psicología","13","Facultad de Psicología","Curso 2021-22","20211004"
"1","Empleabilidad y Emprendimiento","51560011","NO","NO","","OPTATIVA","","","M156","Máster Universitario en Formación y Orientación para el Trabajo","18","Facultad de Ciencias de la Educación","Curso 2019-20","20200420"
"1","Historia Económica","1860007","SI","SI","","TRONCAL / FORMACIÓN BÁSICA","","","186","Doble Grado en Administración y Dirección de Empresas y en Derecho","1","Facultad de CC. Económ. y Empresariales","Curso 2023-24","20240405"
"1","Derecho Constitucional I","1860001","SI","SI","","TRONCAL / FORMACIÓN BÁSICA","","","186","Doble Grado en Administración y Dirección de Empresas y en Derecho","20","Facultad de Derecho","Curso 2023-24","20231009"
"1","Mitología Clásica","1670009","SI","SI","","OBLIGATORIA","","","167","Grado en Historia del Arte","4","Facultad de Geografía e Historia","Curso 2019-20","20200508"
"3","Farmacología General y Ocular","2230033","SI","SI","","OBLIGATORIA","","","223","Grado en Óptica y Optometría","19","Facultad de Farmacia","Curso 2023-24","20240219"
"1","Matemáticas II","2010009","SI","SI","","TRONCAL / FORMACIÓN BÁSICA","","","201","Grado en Ingeniería Electrónica Industrial","23","Escuela Politécnica Superior","Curso 2023-24","20231005"
"3","Estructuras Aeroportuarias I","1970034","SI","SI","","OPTATIVA","","","197","Grado en Ingeniería Aeroespacial","45","E.T.S. de Ingeniería","Curso 2023-24","20231002"
"1","Dibujo Aplicado a la Ingeniería de Edificación","2440002","SI","SI","","TRONCAL / FORMACIÓN BÁSICA","","","244","Grado en Edificación","98","E.T.S. de Ingeniería de Edificación","Curso 2019-20","20191216"
"3","Instalaciones de Fabricación y Sistemas de Producción","1970037","SI","SI","","OPTATIVA","","","197","Grado en Ingeniería Aeroespacial","45","E.T.S. de Ingeniería","Curso 2023-24","20240126"
"2","Mecánica General","2140015","SI","SI","","OBLIGATORIA","","","214","Doble Grado en Ing.en Diseño Ind.y Desarrollo del Producto e Ing. Mecánica","23","Escuela Politécnica Superior","Curso 2023-24","20231011"
"2","Métodos Experimentales en Ingeniería Mecánica","51920045","SI","SI","","OPTATIVA","","","M192","Doble M.U.en Ingeniería Industrial y Diseño Avanzado en Ingeniería Mecánica","45","E.T.S. de Ingeniería","Curso 2023-24","20231107"
"1","Cinética Electródica, Transporte y Electrocatálisis","52050007","","","","OBLIGATORIA","","","M205","M.U.en Electroquímica.Ciencia y Tecnología UAB-UAM-UA-UB-UBU-UCO-UM-US-UPCT","302","Escuela Internacional de Posgrado","",""
"1","Sistemas Integrados de Fabricación","52210042","","","","OBLIGATORIA","","","M221","Máster Universitario en Ingeniería Industrial (2024)","45","E.T.S. de Ingeniería","",""
"1","Los Sistemas Alternativos de Resolución de Conflictos","50620024","SI","SI","","OPTATIVA","","","M062","Máster Universitario en Derecho Público","20","Facultad de Derecho","Curso 2023-24","20240213"
"1","Principios y Límites del Derecho Penal y de las Ciencias Criminales","51860021","SI","SI","","OBLIGATORIA","","","M186","Máster Universitario en Derecho Penal y Ciencias Criminales","20","Facultad de Derecho","Curso 2023-24","20240215"
"2","Dirección de Arte","2110053","SI","SI","","OBLIGATORIA","","","211","Grado en Publicidad y Relaciones Públicas","2","Facultad de Comunicación","Curso 2022-23","20220908"
"1","Bases Microbiológicas de la Terapéutica y la Resistencia Antimicrobiana","51270022","NO","NO","","OPTATIVA","","","M127","Máster Unv. en Investigación Médica: Clínica y Experimental","14","Facultad de Medicina","Curso 2021-22","20211215"
"1","Modelado y Simulación Numérica","51620022","SI","SI","","OPTATIVA","","","M162","Máster Universitario en Matemáticas","17","Facultad de Matemáticas","Curso 2022-23","20200211"
"1","Análisis Real y Armónico","51620005","SI","SI","","OPTATIVA","","","M162","Máster Universitario en Matemáticas","17","Facultad de Matemáticas","Curso 2022-23","20200211"
"1","Las Indias en la Monarquía Española durante la Época de los Austrias","51210028","SI","SI","","OPTATIVA","","","M121","Máster Universitario en Estudios Americanos","4","Facultad de Geografía e Historia","Curso 2015-16","20160512"
"1","Globalización y Relaciones Laborales: Comparativa en la UE","51910013","SI","SI","","OPTATIVA","","","M191","Doble M.U. en Ciencias del Trabajo y en Gestión y Desarrollo de los RRHH","8","Facultad de Ciencias del Trabajo","Curso 2021-22","20211022"
"3","Literatura Árabe Moderna","1810039","SI","NO","","OBLIGATORIA","","","181","Grado en Estudios Árabes e Islámicos","16","Facultad de Filología","Curso 2016-17","20161112"
"2","Idioma Moderno II (Inglés)","1820022","SI","NO","","OBLIGATORIA","","","182","Grado en Estudios Franceses","16","Facultad de Filología","Curso 2019-20","20200508"
"4","Arquitectura de Sistemas y Software de Base","2260047","SI","SI","","OPTATIVA","","","226","Grado en Ingeniería de la Salud por la Univ. de Málaga y la Univ.de Sevilla","3","E.T.S. Ingeniería Informática","Curso 2021-22","20211215"
"1","Expresión Gráfica y Cartografía (GIA)","2460005","SI","SI","","TRONCAL / FORMACIÓN BÁSICA","","","246","Doble Grado en Ingeniería Agrícola (US) y Grado Ciencias Ambientales (UPO)","9","E.T.S. de Ingeniería Agronómica","Curso 2023-24","20231213"
"1","Aplicaciones y Discusiones en Medicina Clínica","52030007","NO","NO","","OPTATIVA","","","M203","Máster Universitario en Análisis de Datos Ómicos y Biología de Sistemas","5","Facultad de Biología","Curso 2023-24","20240528"
"5","Ortodoncia y Ortopedia Dentofacial Avanzada","1730039","SI","NO","","OPTATIVA","","","173","Grado en Odontología","10","Facultad de Odontología","Curso 2021-22","20211215"
"1","Diseño y Adaptación de las Prácticas Socio-sanitarias a la Diversidad","51330004","SI","SI","","OBLIGATORIA","","","M133","M.U.en Migraciones Internacionales, Salud y Bienestar: Mod. y Est. de Inter","13","Facultad de Psicología","Curso 2021-22","20161025"
"2","Métodos Numéricos y de Simulación","2310013","SI","SI","","OBLIGATORIA","","","231","Doble Grado en Física y en Ingeniería de Materiales","6","Facultad de Física","Curso 2023-24","20240425"
"1","Historia del Análisis Económico","50680003","SI","SI","","OBLIGATORIA","","","M068","Máster Universitario en Economía y Desarrollo","1","Facultad de CC. Económ. y Empresariales","Curso 2023-24","20240109"
"2","Arqueología Medieval y Postmedieval","2420013","SI","SI","","OBLIGATORIA","","","242","Grado en Arqueología por la Unv. de Granada, Unv. de Jaén y Unv.de Sevilla","4","Facultad de Geografía e Historia","Curso 2015-16","20160510"
"4","Análisis de Estados Financieros II","1610031","SI","SI","","OBLIGATORIA","","","161","Grado en Finanzas y Contabilidad","7","Facultad de Turismo y Finanzas","Curso 2023-24","20231219"
"4","Marketing Financiero","1610044","SI","SI","","OPTATIVA","","","161","Grado en Finanzas y Contabilidad","7","Facultad de Turismo y Finanzas","Curso 2023-24","20240301"
"2","Psicología Asistencial","2550028","","","","TRONCAL / FORMACIÓN BÁSICA","","","255","Doble Grado en Fisioterapia y Ciencias de la Actividad Física y del Deporte","11","Facultad de Enfermería, Fisioterapia y Podología","",""
"1","Innovación y Emprendimiento en el Ámbito Sanitario","52220010","","","","OBLIGATORIA","","","M222","Máster Universitario en Química Sanitaria (US, UCO, UHU y UNEX)","22","Facultad de Química","",""
"2","Microbiología","2230013","SI","SI","","TRONCAL / FORMACIÓN BÁSICA","","","223","Grado en Óptica y Optometría","19","Facultad de Farmacia","Curso 2023-24","20240219"
"4","Intervención en Tejidos","1930041","SI","SI","","OPTATIVA","","","193","Grado en Conservación y Restauración de Bienes Culturales","21","Facultad de Bellas Artes","Curso 2023-24","20231031"
"4","Infraestructura Ferroviaria","2250045","SI","NO","","OPTATIVA","","","225","Grado en Ingeniería Civil","45","E.T.S. de Ingeniería","Curso 2023-24","20240104"
"3","Dibujo Industrial","2070027","SI","SI","","OBLIGATORIA","","","207","Grado en Ingeniería Mecánica","23","Escuela Politécnica Superior","Curso 2023-24","20231004"
"1","Sistemas Inteligentes de Mantenimiento","51630016","SI","SI","","OPTATIVA","","","M163","Máster Universitario en Organización Industrial y Gestión de Empresas","45","E.T.S. de Ingeniería","Curso 2022-23","20221114"
"4","Organización y Gestión de Recursos Humanos","1870045","SI","SI","","OBLIGATORIA","","","187","Doble Grado en Derecho y Gestión y Administración Pública","20","Facultad de Derecho","Curso 2013-14","20140310"
"3","Motores de Combustión Interna Alternativos","2030059","SI","SI","","OPTATIVA","","","203","Grado en Ingeniería de Tecnologías Industriales","45","E.T.S. de Ingeniería","Curso 2023-24","20231214"
